symbol,name,timestamp,fetched_at,market_status,price,marketCap,pe,eps,changesPercentage,yearLow,yearHigh,dividendYieldTTM,volume,avgVolume
AAPL,Apple Inc.,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,301.54,4428825328240.0,36.42,8.28,-1.88716,195.07,317.4,0.00348213,77764805.0,45584055.0
MSFT,Microsoft Corporation,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,411.74,3058581768200.0,24.52,16.79,-1.18319,356.28,555.45,0.00864623,31980271.0,34513793.0
GOOGL,Alphabet Inc.,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,363.31,4394187326150.0,27.69,13.12,-1.41644,162.0,408.61,0.0023396,27883598.0,29143304.0
AMZN,"Amazon.com, Inc.",2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,245.22,2637856062000.0,31.56,7.77,-0.32923,196.0,278.56,0.0,33791680.0,44274369.0
META,"Meta Platforms, Inc.",2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,585.39,1485967579878.0,21.27,27.52,-1.28331,520.26,796.25,0.00358735,19455103.0,16828617.0
NVDA,NVIDIA Corporation,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,208.64,5053469440000.0,32.0,6.52,1.72599,140.85,236.54,0.00134202,137815036.0,165795853.0
TSLA,"Tesla, Inc.",2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,408.95,1535901694000.0,225.94,1.81,4.59079,288.77,498.83,0.0,50178344.0,59324906.0
AVGO,Broadcom Inc.,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,396.6,1877769401774.0,65.88,6.02,2.81803,241.11,495.0,0.00625315,37029738.0,25034839.0
AMD,"Advanced Micro Devices, Inc.",2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,490.33,799532098000.0,164.54,2.98,5.1353,115.06,546.44,0.0,25099765.0,37347360.0
NFLX,"Netflix, Inc.",2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,82.64,347980512000.0,26.66,3.1,0.55975,75.01,134.115,0.0,32951212.0,37817211.0
CRM,"Salesforce, Inc.",2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,182.55,149508450000.0,21.15,8.63,-1.67511,163.52,276.8,0.00924678,11153119.0,14091192.0
ORCL,Oracle Corporation,2026-06-08 19:59:59 UTC,2026-06-09 03:29:33 UTC,after_hours,211.795,609132162570.0,37.96,5.58,-0.88216,134.57,345.72,0.00944309,17097995.0,27594049.0
ADBE,Adobe Inc.,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,244.99,99024958000.0,14.29,17.15,-2.56522,224.13,419.82,0.0,4723689.0,5562368.0
UBER,"Uber Technologies, Inc.",2026-06-08 20:00:03 UTC,2026-06-09 03:29:33 UTC,after_hours,70.06,142614066851.0,17.38,4.03,-0.91925,68.46,101.99,0.0,17743985.0,17261219.0
SHOP,Shopify Inc.,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,110.78,143754185340.0,108.61,1.02,1.13201,94.0,182.19,0.0,7008239.0,9918788.0
PLTR,Palantir Technologies Inc.,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,136.47,313344672900.0,153.34,0.89,0.69357,122.68,207.52,0.0,26896104.0,44845487.0
COST,Costco Wholesale Corporation,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,974.75,432281155250.0,48.93,19.92,0.29634,844.06,1096.5,0.0055091,2083018.0,1976531.0
JPM,JPMorgan Chase & Co.,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,311.11,833622797254.0,14.89,20.9,-0.40337,262.71,337.25,0.01896435,6807628.0,9084463.0
V,Visa Inc.,2026-06-08 20:00:03 UTC,2026-06-09 03:29:33 UTC,after_hours,319.67,612751882821.0,27.92,11.45,-1.2053,293.89,375.51,0.00813339,5566892.0,7449053.0
MA,Mastercard Incorporated,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,closed,485.67,429130161144.0,28.09,17.29,-1.10165,464.52,601.77,0.00671238,3091313.0,3552619.0
